id,danceability,popularity
807,0.287,41
808,0.456,51
809,0.676,48
810,0.58,52
811,0.809,39
812,0.422,27
813,0.49,41
814,0.605,43
815,0.463,45
816,0.532,27
817,0.387,41
818,0.758,33
819,0.631,47
820,0.545,48
821,0.579,44
822,0.524,64
823,0.747,49
824,0.422,49
825,0.539,45
826,0.737,26
827,0.642,47
828,0.731,27
829,0.587,26
830,0.277,48
831,0.676,59
832,0.673,26
833,0.602,53
834,0.582,26
835,0.489,26
836,0.696,26
837,0.65,48
838,0.501,61
839,0.389,27
840,0.721,26
841,0.467,50
842,0.37,26
843,0.336,27
844,0.524,26
845,0.548,26
846,0.459,49
847,0.316,27
848,0.741,27
849,0.474,26
850,0.629,47
851,0.685,33
852,0.627,57
853,0.592,44
854,0.663,58
855,0.53,48
856,0.537,39
857,0.699,45
858,0.683,49
859,0.375,44
860,0.421,44
861,0.516,51
862,0.709,41
863,0.57,58
864,0.404,54
865,0.559,41
866,0.768,46
867,0.592,26
868,0.354,56
869,0.495,27
870,0.356,46
871,0.417,26
872,0.731,27
873,0.421,52
874,0.6,26
875,0.501,55
876,0.717,26
877,0.578,51
878,0.636,51
879,0.516,49
880,0.379,47
881,0.821,58
882,0.371,27
883,0.507,58
884,0.452,26
885,0.456,27
886,0.351,26
887,0.294,27
888,0.638,27
889,0.382,26
890,0.651,58
891,0.582,27
892,0.461,27
893,0.712,26
894,0.44,26
895,0.563,27
896,0.335,26
897,0.572,29
898,0.654,26
899,0.446,26
900,0.444,42
901,0.558,51
902,0.807,53
903,0.738,66
904,0.568,51
905,0.654,40
906,0.551,38
907,0.484,43
908,0.309,44
909,0.627,47
910,0.512,27
911,0.409,52
912,0.655,43
913,0.737,56
914,0.512,48
915,0.564,43
916,0.464,33
917,0.614,25
918,0.292,47
919,0.652,39
920,0.747,47
921,0.621,50
922,0.324,27
923,0.723,47
924,0.755,26
925,0.502,51
926,0.586,26
927,0.674,37
928,0.491,25
929,0.405,45
930,0.667,25
931,0.675,26
932,0.602,44
933,0.439,27
934,0.608,25
935,0.556,24
936,0.682,27
937,0.644,25
938,0.554,27
939,0.565,27
940,0.879,25
941,0.425,27
942,0.49,28
943,0.279,26
944,0.503,25
945,0.531,26
946,0.308,27
947,0.721,26
948,0.773,25
949,0.484,25
950,0.751,50
951,0.527,43
952,0.485,46
953,0.588,34
954,0.609,35
955,0.289,26
956,0.576,45
957,0.524,40
958,0.456,51
959,0.426,47
960,0.531,46
961,0.655,45
962,0.641,55
963,0.474,26
964,0.617,48
965,0.333,26
966,0.543,45
967,0.615,27
968,0.655,54
969,0.491,37
970,0.213,50
971,0.345,27
972,0.649,52
973,0.392,51
974,0.542,25
975,0.762,26
976,0.644,26
977,0.488,38
978,0.704,25
979,0.369,47
980,0.568,25
981,0.483,26
982,0.419,25
983,0.566,25
984,0.633,26
985,0.662,25
986,0.391,25
987,0.448,26
988,0.301,26
989,0.524,25
990,0.479,25
991,0.609,25
992,0.608,26
993,0.555,26
994,0.446,26
995,0.633,26
996,0.621,29
997,0.648,26
998,0.303,26
999,0.335,25
1000,0.443,64
1001,0.58,44
1002,0.805,42
1003,0.582,46
1004,0.776,44
1005,0.711,43
1006,0.637,41
1007,0.79,39
1008,0.797,40
1009,0.506,43
1010,0.788,46
1011,0.708,39
1012,0.619,40
1013,0.844,38
1014,0.66,41
1015,0.606,42
1016,0.67,38
1017,0.772,38
1018,0.434,44
1019,0.755,37
1020,0.437,36
1021,0.789,44
1022,0.763,41
1023,0.518,37
1024,0.637,48
1025,0.87,37
1026,0.633,42
1027,0.428,44
1028,0.83,44
1029,0.817,41
1030,0.526,45
1031,0.573,41
1032,0.651,41
1033,0.721,36
1034,0.753,41
1035,0.571,41
1036,0.715,46
1037,0.634,39
1038,0.731,37
1039,0.776,39
1040,0.486,38
1041,0.77,42
1042,0.611,37
1043,0.674,37
1044,0.692,36
1045,0.717,36
1046,0.817,37
1047,0.374,35
1048,0.569,37
1049,0.689,40
1050,0.353,25
1051,0.778,64
1052,0.824,32
1053,0.724,37
1054,0.725,36
1055,0.522,33
1056,0.455,36
1057,0.618,35
1058,0.585,33
1059,0.864,33
1060,0.694,34
1061,0.685,35
1062,0.483,35
1063,0.721,33
1064,0.683,35
1065,0.614,35
1066,0.793,34
1067,0.591,35
1068,0.702,35
1069,0.64,33
1070,0.383,37
1071,0.692,36
1072,0.779,34
1073,0.653,32
1074,0.795,32
1075,0.726,34
1076,0.422,34
1077,0.795,32
1078,0.6,34
1079,0.759,34
1080,0.572,33
1081,0.549,33
1082,0.666,33
1083,0.838,35
1084,0.797,35
1085,0.688,36
1086,0.696,33
1087,0.469,0
1088,0.801,0
1089,0.817,0
1090,0.54,34
1091,0.358,33
1092,0.778,0
1093,0.285,35
1094,0.806,0
1095,0.532,33
1096,0.837,34
1097,0.784,0
1098,0.778,0
1099,0.766,3
1100,0.829,75
1101,0.605,49
1102,0.361,19
1103,0.6,30
1104,0.74,34
1105,0.531,31
1106,0.806,34
1107,0.71,29
1108,0.562,35
1109,0.658,33
1110,0.881,30
1111,0.724,30
1112,0.677,32
1113,0.649,31
1114,0.6,30
1115,0.564,31
1116,0.758,33
1117,0.519,31
1118,0.457,30
1119,0.588,31
1120,0.69,31
1121,0.715,30
1122,0.463,33
1123,0.523,31
1124,0.716,30
1125,0.539,32
1126,0.682,31
1127,0.744,35
1128,0.683,31
1129,0.532,31
1130,0.535,31
1131,0.713,31
1132,0.596,30
1133,0.605,33
1134,0.718,30
1135,0.73,35
1136,0.469,0
1137,0.778,0
1138,0.657,33
1139,0.683,32
1140,0.777,30
1141,0.801,30
1142,0.767,0
1143,0.824,31
1144,0.469,0
1145,0.438,30
1146,0.778,0
1147,0.758,32
1148,0.687,33
1149,0.778,0
1150,0.714,45
1151,0.57,16
1152,0.605,42
1153,0.497,27
1154,0.742,27
1155,0.716,28
1156,0.76,30
1157,0.754,31
1158,0.607,27
1159,0.501,29
1160,0.642,30
1161,0.555,27
1162,0.634,28
1163,0.714,32
1164,0.735,31
1165,0.714,28
1166,0.466,29
1167,0.789,28
1168,0.604,27
1169,0.732,29
1170,0.646,27
1171,0.762,29
1172,0.741,28
1173,0.596,28
1174,0.77,26
1175,0.84,30
1176,0.783,30
1177,0.695,30
1178,0.598,26
1179,0.738,28
1180,0.765,30
1181,0.833,29
1182,0.75,31
1183,0.39,28
1184,0.551,30
1185,0.667,28
1186,0.747,30
1187,0.75,29
1188,0.714,27
1189,0.537,30
1190,0.689,27
1191,0.603,29
1192,0.736,28
1193,0.718,28
1194,0.827,29
1195,0.806,28
1196,0.781,30
1197,0.51,28
1198,0.764,30
1199,0.552,29
1200,0.571,55
1201,0.729,45
1202,0.599,38
1203,0.699,49
1204,0.547,52
1205,0.827,26
1206,0.795,25
1207,0.655,25
1208,0.701,27
1209,0.353,26
1210,0.73,24
1211,0.746,26
1212,0.498,25
1213,0.706,27
1214,0.667,27
1215,0.725,25
1216,0.587,25
1217,0.681,27
1218,0.893,25
1219,0.553,24
1220,0.784,26
1221,0.668,26
1222,0.719,27
1223,0.756,24
1224,0.827,25
1225,0.893,26
1226,0.596,24
1227,0.707,26
1228,0.608,27
1229,0.738,28
1230,0.698,26
1231,0.762,26
1232,0.776,27
1233,0.732,29
1234,0.695,25
1235,0.686,27
1236,0.443,27
1237,0.609,28
1238,0.802,25
1239,0.486,27
1240,0.474,26
1241,0.742,28
1242,0.736,28
1243,0.555,28
1244,0.583,28
1245,0.737,27
1246,0.778,25
1247,0.594,26
1248,0.591,27
1249,0.731,29
1250,0.631,44
1251,0.439,48
1252,0.628,55
1253,0.588,53
1254,0.868,24
1255,0.538,23
1256,0.772,24
1257,0.547,24
1258,0.641,25
1259,0.704,25
1260,0.561,25
1261,0.568,22
1262,0.683,25
1263,0.549,25
1264,0.659,25
1265,0.776,24
1266,0.595,23
1267,0.641,48
1268,0.815,56
1269,0.699,25
1270,0.49,26
1271,0.726,27
1272,0.786,25
1273,0.669,26
1274,0.525,23
1275,0.821,25
1276,0.868,24
1277,0.382,24
1278,0.575,25
1279,0.641,26
1280,0.715,25
1281,0.723,24
1282,0.44,24
1283,0.869,24
1284,0.457,23
1285,0.852,24
1286,0.43,24
1287,0.623,26
1288,0.659,25
1289,0.854,23
1290,0.623,25
1291,0.646,23
1292,0.588,25
1293,0.579,26
1294,0.618,26
1295,0.816,24
1296,0.605,27
1297,0.736,26
1298,0.674,25
1299,0.768,27
1300,0.974,42
1301,0.675,71
1302,0.782,12
1303,0.648,43
1304,0.7,45
1305,0.382,55
1306,0.678,23
1307,0.831,49
1308,0.72,23
1309,0.729,22
1310,0.701,23
1311,0.337,23
1312,0.863,22
1313,0.662,22
1314,0.542,57
1315,0.839,51
1316,0.518,23
1317,0.711,23
1318,0.647,22
1319,0.879,21
1320,0.693,25
1321,0.483,22
1322,0.589,21
1323,0.625,24
1324,0.566,23
1325,0.683,22
1326,0.503,0
1327,0.537,23
1328,0.781,23
1329,0.749,23
1330,0.44,23
1331,0.742,22
1332,0.738,22
1333,0.666,22
1334,0.886,22
1335,0.571,23
1336,0.815,22
1337,0.558,24
1338,0.688,25
1339,0.665,23
1340,0.677,23
1341,0.875,25
1342,0.734,23
1343,0.697,20
1344,0.528,23
1345,0.424,22
1346,0.454,22
1347,0.532,25
1348,0.858,7
1349,0.695,23
1350,0.787,40
1351,0.731,27
1352,0.858,38
1353,0.63,51
1354,0.71,21
1355,0.699,21
1356,0.537,45
1357,0.589,12
1358,0.549,49
1359,0.431,12
1360,0.594,22
1361,0.534,21
1362,0.887,21
1363,0.613,21
1364,0.738,22
1365,0.59,22
1366,0.753,21
1367,0.536,22
1368,0.54,22
1369,0.876,21
1370,0.723,21
1371,0.329,22
1372,0.586,21
1373,0.81,21
1374,0.776,22
1375,0.651,23
1376,0.76,20
1377,0.4,23
1378,0.658,24
1379,0.727,22
1380,0.587,21
1381,0.7,22
1382,0.783,21
1383,0.542,22
1384,0.445,22
1385,0.746,21
1386,0.764,22
1387,0.771,25
1388,0.471,22
1389,0.709,21
1390,0.618,21
1391,0.723,21
1392,0.763,21
1393,0.823,24
1394,0.875,21
1395,0.617,22
1396,0.528,21
1397,0.458,23
1398,0.704,24
1399,0.549,23
1400,0.728,43
1401,0.656,21
1402,0.725,10
1403,0.643,20
1404,0.615,20
1405,0.788,20
1406,0.892,48
1407,0.821,20
1408,0.664,20
1409,0.55,20
1410,0.714,20
1411,0.734,22
1412,0.655,21
1413,0.709,20
1414,0.615,20
1415,0.5,21
1416,0.716,21
1417,0.804,20
1418,0.634,21
1419,0.739,20
1420,0.648,22
1421,0.343,20
1422,0.447,22
1423,0.745,22
1424,0.799,20
1425,0.712,21
1426,0.805,20
1427,0.843,20
1428,0.701,20
1429,0.589,23
1430,0.743,21
1431,0.76,24
1432,0.79,20
1433,0.829,20
1434,0.695,20
1435,0.571,22
1436,0.715,22
1437,0.393,21
1438,0.677,22
1439,0.509,22
1440,0.553,20
1441,0.791,23
1442,0.517,21
1443,0.671,23
1444,0.539,22
1445,0.808,22
1446,0.791,23
1447,0.752,22
1448,0.722,21
1449,0.682,21
1450,0.761,63
1451,0.503,48
1452,0.581,9
1453,0.851,53
1454,0.675,46
1455,0.82,49
1456,0.366,40
1457,0.703,20
1458,0.795,42
1459,0.676,47
1460,0.631,20
1461,0.484,20
1462,0.778,20
1463,0.514,11
1464,0.723,19
1465,0.777,48
1466,0.413,21
1467,0.79,20
1468,0.809,19
1469,0.668,19
1470,0.572,19
1471,0.548,21
1472,0.688,21
1473,0.785,21
1474,0.82,20
1475,0.734,19
1476,0.783,21
1477,0.658,20
1478,0.787,19
1479,0.7,20
1480,0.705,21
1481,0.517,21
1482,0.795,21
1483,0.739,23
1484,0.806,19
1485,0.507,21
1486,0.648,22
1487,0.585,21
1488,0.845,20
1489,0.442,22
1490,0.663,19
1491,0.759,22
1492,0.481,21
1493,0.622,21
1494,0.717,19
1495,0.573,22
1496,0.795,22
1497,0.803,21
1498,0.937,20
1499,0.75,22
1500,0.748,70
1501,0.86,51
1502,0.751,41
1503,0.599,10
1504,0.836,53
1505,0.672,41
1506,0.595,50
1507,0.536,42
1508,0.831,20
1509,0.806,19
1510,0.814,19
1511,0.794,19
1512,0.843,19
1513,0.793,21
1514,0.555,19
1515,0.811,19
1516,0.61,22
1517,0.642,21
1518,0.599,19
1519,0.756,19
1520,0.806,22
1521,0.705,19
1522,0.58,21
1523,0.73,19
1524,0.744,19
1525,0.751,19
1526,0.578,21
1527,0.633,19
1528,0.778,19
1529,0.647,21
1530,0.815,21
1531,0.739,23
1532,0.683,21
1533,0.332,19
1534,0.746,22
1535,0.698,19
1536,0.389,20
1537,0.307,20
1538,0.735,22
1539,0.694,19
1540,0.853,21
1541,0.616,20
1542,0.463,20
1543,0.644,23
1544,0.852,19
1545,0.851,20
1546,0.727,22
1547,0.735,22
1548,0.501,21
1549,0.561,21
1550,0.479,0
1551,0.489,41
1552,0.637,18
1553,0.524,43
1554,0.448,10
1555,0.882,19
1556,0.635,18
1557,0.717,18
1558,0.765,18
1559,0.778,19
1560,0.691,64
1561,0.569,19
1562,0.545,20
1563,0.791,19
1564,0.846,19
1565,0.754,18
1566,0.78,18
1567,0.484,19
1568,0.902,19
1569,0.861,18
1570,0.736,19
1571,0.851,19
1572,0.817,21
1573,0.795,18
1574,0.573,19
1575,0.798,19
1576,0.643,20
1577,0.735,18
1578,0.452,19
1579,0.826,18
1580,0.429,21
1581,0.742,19
1582,0.577,19
1583,0.532,20
1584,0.82,20
1585,0.668,18
1586,0.485,19
1587,0.735,19
1588,0.757,19
1589,0.765,19
1590,0.739,21
1591,0.788,18
1592,0.697,20
1593,0.751,19
1594,0.718,19
1595,0.775,21
1596,0.761,21
1597,0.795,19
1598,0.647,21
1599,0.78,20
1600,0.601,10
1601,0.767,18
1602,0.75,49
1603,0.404,9
1604,0.764,9
1605,0.583,9
1606,0.834,44
1607,0.579,21
1608,0.614,18
1609,0.541,18
1610,0.641,20
1611,0.575,19
1612,0.668,18
1613,0.682,19
1614,0.699,21
1615,0.699,20
1616,0.813,18
1617,0.631,18
1618,0.418,18
1619,0.831,18
1620,0.86,18
1621,0.785,17
1622,0.536,19
1623,0.55,18
1624,0.643,17
1625,0.734,19
1626,0.748,18
1627,0.513,18
1628,0.83,18
1629,0.688,19
1630,0.611,20
1631,0.688,18
1632,0.853,18
1633,0.603,18
1634,0.595,18
1635,0.454,18
1636,0.659,19
1637,0.44,18
1638,0.606,18
1639,0.816,18
1640,0.534,20
1641,0.618,18
1642,0.715,18
1643,0.464,19
1644,0.677,18
1645,0.501,21
1646,0.696,20
1647,0.758,18
1648,0.691,21
1649,0.853,21
1650,0.582,68
1651,0.721,71
1652,0.583,42
1653,0.69,50
1654,0.581,18
1655,0.537,20
1656,0.771,18
1657,0.91,18
1658,0.718,18
1659,0.712,18
1660,0.496,18
1661,0.815,18
1662,0.709,18
1663,0.34,19
